chars,filename,id,source_url,title,year
9639,4ae69cfa5a7a_UNE1605%20FINAL%20REPORT%20Executive%20Summary%20Only_0.pdf,4ae69cfa5a7a_UNE1605%20FINAL%20REPORT%20Executive%20Summary%20Only_0,https://www.insidecotton.com/sites/default/files/article-files/UNE1605%20FINAL%20REPORT%20Executive%20Summary%20Only_0.pdf,"PhD: Characterisation of brassinosteroid effects and brassinosteroid - responsive genes in cotton for growth and stress tolerance enhancement""Anahid A Essa Al-Amery (Cotton Research & Development Corporation (CRDC), The University Of New England, 2021-03-25)1) to study the effects of exogenous BR on cotton growth and tolerance to water, salt and pathogen stresses;",2021
79633,bc6b51993204_UNSW1901_Hons_Thesis.pdf,bc6b51993204_UNSW1901_Hons_Thesis,https://www.insidecotton.com/sites/default/files/article-files/UNSW1901_Hons_Thesis.pdf,"River regulation impacts on water quality in the lower Murrumbidgee catchmentWatson, Jessica (University Of New South Wales, Sydney, 2020-11-12)",2020
5982,6fb9b284d5dd_RIRDC1901_RSHA03_2020_WHS_Overlaps_Summary.pdf,6fb9b284d5dd_RIRDC1901_RSHA03_2020_WHS_Overlaps_Summary,https://www.insidecotton.com/sites/default/files/article-files/RIRDC1901_RSHA03_2020_WHS_Overlaps_Summary.pdf,"RSHA03 Identifying and prioritising WHS overlaps across the Agriculture and Fisheries SectorsLowor, Tony, Peachey, Kerri-Lynn (Ag Health Australia, 2020-09)",2020
12005,bda364778238_CGA2006_Grassroots_Grant_Final_Report_%25281%2529.pdf,bda364778238_CGA2006_Grassroots_Grant_Final_Report_%25281%2529,https://www.insidecotton.com/sites/default/files/article-files/CGA2006_Grassroots_Grant_Final_Report_%25281%2529.pdf,"CottonInfo Field Demonstration Trial:  Investigation of the impact of last irrigations on profit and quality in the MIA regionAyliffe, Emma (Southern Valley Cotton Grower Association, 2020-08-30)",2020
475648,b340a7f19e17_USQ1801%20Contextualising%20the%20Future%20of%20Work%20in%20the%20Cotton%20Industry%20FINAL%2020220228.pdf,b340a7f19e17_USQ1801%20Contextualising%20the%20Future%20of%20Work%20in%20the%20Cotton%20Industry%20FINAL%2020220228,https://www.insidecotton.com/sites/default/files/article-files/USQ1801%20Contextualising%20the%20Future%20of%20Work%20in%20the%20Cotton%20Industry%20FINAL%2020220228.pdf,"Understanding and planning for the future cotton workforceNicole McDonald (Cotton Research & Development Corporation (CRDC), University Of Southern Queensland, 2022-02-28)""The future belongs to those who prepare for it today."" -Malcolm X""The only way you can predict the future is to build it."" -Alan Kay",2022
273447,00294fcd04e8_NLP2103_QUT_Final_Report_%25283%2529.pdf,00294fcd04e8_NLP2103_QUT_Final_Report_%25283%2529,https://www.insidecotton.com/sites/default/files/article-files/NLP2103_QUT_Final_Report_%25283%2529.pdf,"Perceptions of strategies to strengthen biodiversity management - Perspectives from the cotton industryDeans, Angela (Queensland University Of Technology, 2021-12-01)",2021
259447,986066dd1414_ANU1901_Milestone4-3_Namoi_MAR_FinalReport_17Dec21.pdf,986066dd1414_ANU1901_Milestone4-3_Namoi_MAR_FinalReport_17Dec21,https://www.insidecotton.com/sites/default/files/article-files/ANU1901_Milestone4-3_Namoi_MAR_FinalReport_17Dec21.pdf,"Feasibility assessment of managed aquifer recharge for cotton irrigation in the Namoi: Final case study reportMerritt, Wendy, Harvey, Natasha, Guillaume, Joseph, Jakeman, Tony, Vervoort, Willem, Croke, Barry (Australian National University, 2021-12)Background",2021
409653,304127ecd74f_ANU1901_Milestone4-2_Gilbert_MAR_FinalReport_17Dec21.pdf,304127ecd74f_ANU1901_Milestone4-2_Gilbert_MAR_FinalReport_17Dec21,https://www.insidecotton.com/sites/default/files/article-files/ANU1901_Milestone4-2_Gilbert_MAR_FinalReport_17Dec21.pdf,"Feasibility assessment of managed aquifer recharge for cotton irrigation in the Gilbert: Final case studyHarvey, Natasha, Guillaume, Joseph, Merritt, Wendy, Vervoort, Willem, Croke, Barry, Jakeman, Tony (Australian National University, 2021-12)Background",2021
43047,c557f39ac203_RIRDC2202%20RSHA%20Mobile%20plant%20research%20pack%20FINAL.pdf,c557f39ac203_RIRDC2202%20RSHA%20Mobile%20plant%20research%20pack%20FINAL,https://www.insidecotton.com/sites/default/files/article-files/RIRDC2202%20RSHA%20Mobile%20plant%20research%20pack%20FINAL.pdf,"Rural Health and Safety Alliance: Mobile plant research pack(Cotton Research & Development Corporation (CRDC), AgriFutures, Grains Research and Develop Corporation, Meat and Livestock Australia, Dairy Australia, Australian Wool Innovation, Australian Eggs, Australian Pork Limited, 2024-05-01)This research aims to foster safe use of mobile plant on farms by: • Better understanding how to initiate and sustain behaviour change on farm.",2024
0,1188d4a8ea3d_CSD2201%20Final%20Report.pdf,1188d4a8ea3d_CSD2201%20Final%20Report,https://www.insidecotton.com/sites/default/files/article-files/CSD2201%20Final%20Report.pdf,"CottonInfo Field Demonstration Trial: Optimisation of application in tailwater backup systemsMcKay, Andrew (Cotton Research & Development Corporation (CRDC), 2023-08-18)In recent years the industry has increased their adoption of bankless channel or siphon-less irrigation systems.",2023
216062,b83df066d63c_UTS1901%20PhD%20Thesis%20FINAL.pdf,b83df066d63c_UTS1901%20PhD%20Thesis%20FINAL,https://www.insidecotton.com/sites/default/files/article-files/UTS1901%20PhD%20Thesis%20FINAL.pdf,"Farm-wide Microgrid decision support system for the Australian Cotton IndustryYunfeng Lin (Cotton Research & Development Corporation (CRDC), University Of Technology, Sydney, 2023-07-13)According to Cotton Australia, energy costs in the cotton industry have increased by 350% from 2000 to 2014.",2023
418315,27e9d8d54033_DAN1801%20Technical%20report.pdf,27e9d8d54033_DAN1801%20Technical%20report,https://www.insidecotton.com/sites/default/files/article-files/DAN1801%20Technical%20report.pdf,"Minimising yield variability to maximise yield in a cotton farming systemNachimuthu, Gunasekhar (Cotton Research & Development Corporation (CRDC), NSW Department Of Primary Industries, University Of Sydney, 2023-04-30)The objectives of this project were to (i) identify the causal factors for yield variability and (ii) develop strategic soil and crop management options to address yield variability and improve soil health and s",2023
134991,d56579b175e6_DAQ2001%20final%20report.pdf,d56579b175e6_DAQ2001%20final%20report,https://www.insidecotton.com/sites/default/files/article-files/DAQ2001%20final%20report.pdf,"Sustainable SLW management through improved insect resistance monitoringHopkinson, Jamie (Cotton Research & Development Corporation (CRDC), Queensland Department Of Agriculture And Fisheries, 2023-01-31)Although it has been several years since a major outbreak of silverleaf whitefly (SLW), the ongoing risk of honeydew contamination means they remain a pest of concern for growers in almost all cotton production valley",2023
